#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,50.00000000001514,-7049.710537121253,-5503.7818938980745,296.07047501455946,0
50000,99.99999999994834,-6947.159490031783,-5373.645625881214,301.3534934120491,1.89e+03
75000,149.99999999998812,-6886.6363093087,-5331.6746299150755,297.80044833611703,1.9e+03
100000,200.00000000022686,-7007.1354482969655,-5514.7417272744715,285.8176668301032,1.9e+03
125000,250.0000000004656,-6954.8853359289,-5437.083521674766,290.68372986948214,1.9e+03
150000,300.00000000070435,-7120.008045670061,-5533.008798487475,303.9361635615055,1.89e+03
175000,350.0000000009431,-6884.721954783891,-5304.615301957213,302.61611965522195,1.89e+03
200000,400.00000000118183,-7032.905055591369,-5395.365618087688,313.615431890796,1.89e+03
225000,450.0000000014206,-7095.558946878391,-5631.900479885723,280.3143983916993,1.89e+03
250000,500.0000000016593,-6925.85071864044,-5432.149295672201,286.0681130185163,1.88e+03
275000,550.000000000818,-6902.548449632834,-5282.238310747877,310.31574102306087,1.88e+03
300000,599.9999999996356,-7159.203591169215,-5434.274270065904,330.352015731344,1.88e+03
325000,649.9999999984533,-7098.035333575726,-5562.271408035294,294.12376628003153,1.88e+03
350000,699.999999997271,-7005.648116811791,-5450.606471787569,297.8157630547747,1.88e+03
375000,749.9999999960886,-7088.495773391971,-5442.83904459097,315.17002517733886,1.88e+03
400000,799.9999999949063,-7009.18010082857,-5395.041019538175,309.13388314018067,1.88e+03
425000,849.9999999937239,-6909.682750385888,-5224.446535350854,322.7501404313717,1.88e+03
450000,899.9999999925416,-7069.508955231611,-5484.631045518996,303.5298929388908,1.88e+03
475000,949.9999999913592,-7156.46187189948,-5588.397108944296,300.3099019200405,1.88e+03
500000,999.9999999901769,-7139.342740532057,-5451.054597256698,323.3346343197439,1.88e+03
525000,1049.9999999889947,-7087.33865057316,-5477.166578683826,308.37413632850973,1.88e+03
550000,1099.9999999878123,-7094.096557381072,-5534.957849124702,298.6004172900294,1.88e+03
575000,1149.99999998663,-7008.319986804358,-5603.353165222712,269.0739938540116,1.88e+03
600000,1199.9999999854476,-6986.652182034333,-5400.639977073692,303.74712892475736,1.88e+03
625000,1249.9999999842653,-6965.455187306487,-5419.913379448995,295.99638975132734,1.88e+03
650000,1299.999999983083,-7068.095200701118,-5406.26318260295,318.2678561197331,1.88e+03
675000,1349.9999999819006,-7078.494297232999,-5500.46907086574,302.2174926401592,1.88e+03
700000,1399.9999999807183,-7119.520912784081,-5538.9379691355125,302.70733709303846,1.88e+03
725000,1449.999999979536,-6969.494049464029,-5446.089876724472,291.7566726247977,1.88e+03
750000,1499.9999999783536,-7155.2406694778165,-5589.133201183356,299.93504816305483,1.88e+03
775000,1549.9999999771712,-7199.403358372202,-5548.880640792003,316.10194115909405,1.88e+03
800000,1599.9999999759889,-7072.088563269676,-5561.7960236546505,289.2455816605324,1.88e+03
825000,1649.9999999748065,-7038.725392534934,-5439.935651510989,306.1942348687228,1.88e+03
850000,1699.9999999736242,-7067.126378218848,-5604.424013225746,280.131289310685,1.88e+03
875000,1749.9999999724419,-6963.74045130736,-5369.491126647468,305.3246712989151,1.87e+03
900000,1799.9999999712595,-7069.244734372522,-5550.130890591692,290.93500486002245,1.87e+03
925000,1849.9999999700772,-7098.7622304937595,-5551.256076168171,296.37259404410116,1.87e+03
950000,1899.9999999688948,-7085.136964786947,-5551.950326088274,293.63017393808644,1.87e+03
975000,1949.9999999677125,-7040.327384103089,-5504.42783291092,294.1497407978786,1.87e+03
1000000,1999.9999999665301,-7067.371866954635,-5494.72132741353,301.1881527099821,1.87e+03
1025000,2049.999999965348,-6975.887315488637,-5403.0246250534465,301.22878305618997,1.88e+03
1050000,2099.9999999641655,-7105.304689629887,-5514.287381516657,304.7056875712899,1.87e+03
1075000,2149.999999962983,-7280.297165769076,-5741.6924483265675,294.6678241261372,1.87e+03
1100000,2199.9999999618008,-7016.687299300153,-5404.164409070243,308.8243562696554,1.88e+03
1125000,2249.9999999606184,-6995.221004490561,-5386.587441795273,308.0794867986676,1.88e+03
1150000,2299.999999959436,-6964.936781547634,-5444.570289837099,291.17490730907775,1.88e+03
1175000,2349.9999999582537,-7028.525120259138,-5453.3552301713125,301.6706493092692,1.88e+03
1200000,2399.9999999570714,-7033.79208039611,-5367.125217023604,319.1938076138527,1.88e+03
1225000,2449.999999955889,-7010.238625778933,-5482.856704938288,292.5184760721561,1.88e+03
1250000,2499.9999999547067,-6889.416246635553,-5186.376691113512,326.1597696519315,1.88e+03
1275000,2549.9999999535244,-7226.139405092689,-5677.0750114631155,296.67102221084724,1.88e+03
1300000,2599.999999952342,-7185.7301709901285,-5576.312669362488,308.22962385260024,1.88e+03
1325000,2649.9999999511597,-7033.057959072041,-5416.018750639443,309.68930464967804,1.88e+03
1350000,2699.9999999499773,-7040.479116843521,-5519.991260719842,291.1981505678187,1.88e+03
1375000,2749.999999948795,-7195.08083964734,-5579.609231681752,309.38908366798194,1.88e+03
1400000,2799.9999999476127,-6988.402774562609,-5388.55313840949,306.397222021937,1.88e+03
1425000,2849.9999999464303,-7028.653569956509,-5419.60524506724,308.15892050366324,1.88e+03
1450000,2899.999999945248,-7024.410451493024,-5502.91122489547,291.3918444604369,1.88e+03
1475000,2949.9999999440656,-7129.969569113424,-5621.057347114551,288.9812283903627,1.88e+03
1500000,2999.9999999428833,-6914.3456930343755,-5313.821403229596,306.52642916742394,1.88e+03
1525000,3049.999999941701,-6981.2947234713865,-5388.763576576082,304.99561231605014,1.89e+03
1550000,3099.9999999405186,-7018.293851925225,-5449.060037862004,300.5337942182975,1.89e+03
1575000,3149.9999999393362,-7075.32702065908,-5645.13614887149,273.9048096610685,1.89e+03
1600000,3199.999999938154,-6994.208221126035,-5481.135638234591,289.7780051569326,1.89e+03
1625000,3249.9999999369716,-6976.461910055476,-5459.98895784304,290.4292311785892,1.89e+03
1650000,3299.999999935789,-6993.346889518212,-5403.344378402071,304.51133744375414,1.89e+03
1675000,3349.999999934607,-7101.911121562585,-5536.548552664348,299.79238781515033,1.89e+03
1700000,3399.9999999334245,-7097.3209127289965,-5556.651978354673,295.0631552368031,1.89e+03
1725000,3449.999999932242,-7130.001288119668,-5540.278914199912,304.4576866150652,1.89e+03
1750000,3499.99999993106,-7083.1092524078995,-5512.052727850949,300.88287291870085,1.89e+03
1775000,3549.9999999298775,-6999.409775750874,-5398.80920649288,306.54103792316846,1.89e+03
1800000,3599.999999928695,-7193.291920522751,-5669.087552294441,291.9099230736449,1.89e+03
1825000,3649.999999927513,-7034.226616559838,-5449.690047566513,303.4645206402757,1.89e+03
1850000,3699.9999999263305,-7107.6277380440115,-5531.028210376988,301.94444815440175,1.89e+03
1875000,3749.999999925148,-7112.972665667677,-5604.138006607296,288.9663738263154,1.89e+03
1900000,3799.999999923966,-7016.905435032621,-5313.252271049409,326.2772856507252,1.89e+03
1925000,3849.9999999227834,-7107.07057812235,-5598.311184845257,288.9519592048462,1.89e+03
1950000,3899.999999921601,-7057.949358541275,-5413.019697780199,315.03077982413834,1.89e+03
1975000,3949.9999999204188,-7087.600477866681,-5498.797021859758,304.2816988913467,1.89e+03
2000000,3999.9999999192364,-6971.267941369948,-5479.762210575211,285.64760226102163,1.89e+03
2025000,4049.999999918054,-7020.52049579808,-5525.446609234416,286.330962115995,1.89e+03
2050000,4099.999999917781,-7142.229906132922,-5620.938038269634,291.35213189076455,1.89e+03
2075000,4149.999999927967,-7025.094824820068,-5436.601770961235,304.22225183223867,1.89e+03
2100000,4199.999999938153,-6977.206677003555,-5487.123303343555,285.37519773939783,1.89e+03
2125000,4249.99999994834,-7112.380372497237,-5535.015425149451,302.0910384704956,1.89e+03
2150000,4299.999999958526,-7034.450223138301,-5420.493562211863,309.0989466739692,1.9e+03
2175000,4349.9999999687125,-6992.415947342126,-5349.446238622545,314.6554171355206,1.9e+03
2200000,4399.999999978899,-7096.142604501294,-5558.118463877462,294.5566342240408,1.9e+03
2225000,4449.999999989085,-7136.252414548115,-5537.644280210622,306.1594542349856,1.9e+03
2250000,4499.9999999992715,-7001.520954695027,-5393.223977996191,308.01502510679717,1.9e+03
2275000,4550.000000009458,-7046.583778884506,-5390.212393907184,317.2220560764667,1.9e+03
2300000,4600.000000019644,-7123.87183566199,-5560.832983687562,299.34735823603773,1.9e+03
2325000,4650.0000000298305,-7132.62373892908,-5624.45971003657,288.8379372434041,1.9e+03
2350000,4700.000000040017,-7109.142983456139,-5558.9139057970715,296.89407814254594,1.9e+03
